model_name,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,is_best,regParam,elasticNetParam,maxIter,numTrees,maxDepth
GeneralizedLinearRegression,0.130591647017667,0.07898961563071083,-0.02076119698931378,0.18998766624018898,0.07525356694890897,-1.0980640328325197,True,0.005,,50.0,,
GeneralizedLinearRegression,0.130591647017667,0.07898961563071082,-0.02076119698931378,0.18998766624018903,0.07525356694890897,-1.0980640328325197,False,0.005,,150.0,,
GeneralizedLinearRegression,0.130591647017667,0.07898961563071083,-0.02076119698931378,0.18998766624018906,0.07525356694890899,-1.0980640328325197,False,0.005,,100.0,,
GeneralizedLinearRegression,0.1306141208066786,0.07897564536656958,-0.021112557068224014,0.18640498072561887,0.07521829977797694,-1.0196817800926472,False,0.01,,150.0,,
GeneralizedLinearRegression,0.1306141208066786,0.07897564536656959,-0.021112557068224458,0.1864049807256189,0.07521829977797694,-1.0196817800926476,False,0.01,,100.0,,
GeneralizedLinearRegression,0.13061412080667864,0.07897564536656959,-0.021112557068224236,0.1864049807256188,0.07521829977797692,-1.0196817800926463,False,0.01,,50.0,,
ZeroBaseline,0.13062000476797797,0.07880144426091049,-0.021204558178987254,0.13140978418995405,0.0754823874738873,-0.003744842589318287,True,,,,,
GeneralizedLinearRegression,0.13064766872955094,0.07895710009391158,-0.021637165041831663,0.18216020836009536,0.07516138674881412,-0.9287456136789638,False,0.02,,100.0,,
GeneralizedLinearRegression,0.13064766872955094,0.07895710009391158,-0.021637165041831885,0.18216020836009536,0.07516138674881412,-0.9287456136789631,False,0.02,,150.0,,
GeneralizedLinearRegression,0.13064766872955094,0.07895710009391158,-0.021637165041831663,0.18216020836009542,0.07516138674881412,-0.9287456136789638,False,0.02,,50.0,,
GeneralizedLinearRegression,0.13067313293847943,0.07894578254701756,-0.022035453319757536,0.1789272327749717,0.0751176602442367,-0.8608904767508108,False,0.03,,100.0,,
GeneralizedLinearRegression,0.13067313293847943,0.07894578254701756,-0.02203545331975776,0.1789272327749717,0.0751176602442367,-0.8608904767508103,False,0.03,,150.0,,
GeneralizedLinearRegression,0.13067313293847943,0.07894578254701755,-0.022035453319757536,0.17892723277497172,0.07511766024423672,-0.8608904767508112,False,0.03,,50.0,,
GeneralizedLinearRegression,0.1307814284869071,0.0789367718246494,-0.023730182011542977,0.16210416810199607,0.07503188537293468,-0.5274123093651115,False,0.1,,150.0,,
GeneralizedLinearRegression,0.1307814284869071,0.07893677182464941,-0.023730182011542977,0.1621041681019961,0.07503188537293469,-0.5274123093651117,False,0.1,,50.0,,
GeneralizedLinearRegression,0.1307814284869071,0.07893677182464941,-0.023730182011542977,0.1621041681019961,0.07503188537293469,-0.5274123093651117,False,0.1,,100.0,,
LinearRegression,0.13107801336201202,0.07906816512611559,-0.028378657995228984,0.13123148649950464,0.07503505631659436,-0.0010229147266667127,True,0.01,0.5,,,
LinearRegression,0.13113089346061463,0.07916823466146435,-0.029208571917639148,0.1312506911037577,0.07505216874033863,-0.0013159184270818969,False,0.1,1.0,,,
LinearRegression,0.13113089346061463,0.07916823466146433,-0.02920857191763937,0.13125069110375773,0.07505216874033863,-0.0013159184270816748,False,0.01,1.0,,,
LinearRegression,0.13113089346061463,0.07916823466146435,-0.029208571917638926,0.13125069110375773,0.07505216874033861,-0.0013159184270816748,False,0.1,0.5,,,
RandomForestRegressor,0.13215428212688138,0.08009318476365311,-0.045335823601579506,0.13131683068496017,0.07500287104450236,-0.0023253348549832076,True,,,,20.0,5.0
RandomForestRegressor,0.13370723856052122,0.08110898032547142,-0.07004783586817531,0.13238483245412894,0.07567121894398865,-0.018695488803787574,False,,,,20.0,10.0
