model_name,regParam,elasticNetParam,cv_rmse_avg,test_rmse,test_mae,test_r2,is_best,maxIter
GeneralizedLinearRegression,0.005,,0.13089231334808513,0.1305660994194061,0.08047690518377741,0.0033868278888454784,False,100.0
GeneralizedLinearRegression,0.005,,0.13089231334808513,0.1305660994194061,0.08047690518377743,0.0033868278888455894,False,150.0
GeneralizedLinearRegression,0.005,,0.13089231334808513,0.1305660994194061,0.08047690518377741,0.0033868278888454784,True,50.0
GeneralizedLinearRegression,0.01,,0.13089298674617747,0.13056653259403211,0.08046735741983496,0.0033802150198676273,False,50.0
GeneralizedLinearRegression,0.01,,0.13089298674617747,0.13056653259403211,0.08046735741983496,0.0033802150198676273,False,150.0
GeneralizedLinearRegression,0.01,,0.13089298674617747,0.13056653259403211,0.08046735741983496,0.003380215019867183,False,100.0
GeneralizedLinearRegression,0.02,,0.13089548851213692,0.13056859369416368,0.08045208015989902,0.003348749845106136,False,100.0
GeneralizedLinearRegression,0.02,,0.13089548851213692,0.13056859369416368,0.08045208015989902,0.003348749845106136,False,50.0
GeneralizedLinearRegression,0.02,,0.13089548851213692,0.13056859369416368,0.08045208015989902,0.003348749845105914,False,150.0
GeneralizedLinearRegression,0.03,,0.13089899666086333,0.13057171958053868,0.08044070717453762,0.003301028478615242,False,50.0
GeneralizedLinearRegression,0.03,,0.13089899666086333,0.13057171958053868,0.08044070717453763,0.003301028478615353,False,100.0
GeneralizedLinearRegression,0.03,,0.13089899666086333,0.13057171958053868,0.08044070717453763,0.003301028478615242,False,150.0
GeneralizedLinearRegression,0.1,,0.13093041267092667,0.1306015208659365,0.08041307156326274,0.002846009577866293,False,100.0
GeneralizedLinearRegression,0.1,,0.13093041267092667,0.1306015208659365,0.08041307156326274,0.002846009577866182,False,150.0
GeneralizedLinearRegression,0.1,,0.13093041267092667,0.1306015208659365,0.08041307156326276,0.002846009577866182,False,50.0
LinearRegression,0.01,0.5,0.13108860424502403,0.1307567754406275,0.08048883627482273,0.0004738360279360476,True,
LinearRegression,0.1,0.5,0.13111977835355662,0.13078777066425842,0.0805209990493026,-8.524706740509203e-08,False,
LinearRegression,0.1,1.0,0.13111977835355662,0.13078777066425842,0.08052099904930257,-8.524706696100282e-08,False,
LinearRegression,0.01,1.0,0.13111977835355662,0.13078777066425845,0.08052099904930259,-8.524706718304742e-08,False,
