model_name,regParam,elasticNetParam,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,is_best,maxIter
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071084,-0.02076119698931378,0.18998766624018898,0.07525356694890897,-1.0980640328325197,False,100.0
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071084,-0.020761196989313557,0.18998766624018903,0.07525356694890899,-1.0980640328325202,True,50.0
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071083,-0.020761196989313557,0.18998766624018903,0.07525356694890896,-1.0980640328325197,False,150.0
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.07897564536656958,-0.021112557068224236,0.1864049807256188,0.07521829977797695,-1.0196817800926463,False,50.0
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.0789756453665696,-0.021112557068224014,0.18640498072561887,0.07521829977797694,-1.0196817800926472,False,100.0
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.07897564536656959,-0.021112557068224014,0.1864049807256189,0.07521829977797695,-1.019681780092648,False,150.0
GeneralizedLinearRegression,0.02,,0.13064766872955091,0.07895710009391159,-0.021637165041831885,0.18216020836009536,0.07516138674881412,-0.9287456136789638,False,150.0
GeneralizedLinearRegression,0.02,,0.13064766872955091,0.07895710009391158,-0.021637165041831663,0.18216020836009542,0.07516138674881412,-0.9287456136789638,False,50.0
GeneralizedLinearRegression,0.02,,0.13064766872955094,0.07895710009391159,-0.021637165041831663,0.18216020836009544,0.07516138674881413,-0.9287456136789647,False,100.0
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701755,-0.022035453319757536,0.17892723277497166,0.0751176602442367,-0.8608904767508103,False,50.0
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701755,-0.022035453319757536,0.1789272327749717,0.07511766024423672,-0.8608904767508105,False,100.0
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701756,-0.02203545331975776,0.1789272327749717,0.0751176602442367,-0.8608904767508103,False,150.0
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.0789367718246494,-0.023730182011542977,0.1621041681019961,0.07503188537293468,-0.5274123093651122,False,50.0
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.07893677182464941,-0.02373018201154342,0.1621041681019961,0.07503188537293468,-0.5274123093651117,False,100.0
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.07893677182464941,-0.023730182011542977,0.1621041681019961,0.07503188537293469,-0.5274123093651117,False,150.0
LinearRegression,0.01,0.5,0.131078013362012,0.07906816512611559,-0.028378657995228984,0.13123148649950464,0.07503505631659436,-0.0010229147266664906,True,
LinearRegression,0.1,1.0,0.13113089346061463,0.07916823466146435,-0.029208571917639148,0.1312506911037577,0.07505216874033861,-0.0013159184270818969,False,
LinearRegression,0.01,1.0,0.13113089346061463,0.07916823466146433,-0.029208571917638926,0.13125069110375773,0.07505216874033863,-0.0013159184270816748,False,
LinearRegression,0.1,0.5,0.13113089346061463,0.07916823466146435,-0.029208571917638926,0.13125069110375773,0.07505216874033863,-0.0013159184270818969,False,
