model_name,regParam,elasticNetParam,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,is_best,maxIter,numTrees,maxDepth
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071083,-0.020761196989313557,0.18998766624018892,0.07525356694890899,-1.0980640328325166,False,100.0,,
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071083,-0.02076119698931378,0.18998766624018898,0.07525356694890897,-1.098064032832518,True,50.0,,
GeneralizedLinearRegression,0.005,,0.130591647017667,0.07898961563071084,-0.02076119698931378,0.18998766624018898,0.07525356694890897,-1.0980640328325184,False,150.0,,
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.07897564536656959,-0.021112557068224014,0.1864049807256188,0.07521829977797694,-1.0196817800926463,False,50.0,,
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.07897564536656959,-0.02111255706822468,0.18640498072561887,0.07521829977797692,-1.0196817800926472,False,100.0,,
GeneralizedLinearRegression,0.01,,0.1306141208066786,0.07897564536656959,-0.021112557068224458,0.18640498072561887,0.07521829977797694,-1.0196817800926472,False,150.0,,
GeneralizedLinearRegression,0.02,,0.13064766872955091,0.07895710009391158,-0.021637165041831885,0.18216020836009536,0.07516138674881412,-0.9287456136789638,False,50.0,,
GeneralizedLinearRegression,0.02,,0.13064766872955091,0.07895710009391158,-0.021637165041831885,0.18216020836009542,0.0751613867488141,-0.928745613678964,False,150.0,,
GeneralizedLinearRegression,0.02,,0.13064766872955094,0.07895710009391159,-0.021637165041831663,0.18216020836009536,0.07516138674881412,-0.9287456136789631,False,100.0,,
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701753,-0.022035453319757536,0.1789272327749717,0.07511766024423668,-0.8608904767508103,False,100.0,,
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701755,-0.022035453319757536,0.17892723277497172,0.07511766024423668,-0.8608904767508108,False,50.0,,
GeneralizedLinearRegression,0.03,,0.13067313293847943,0.07894578254701755,-0.022035453319757536,0.17892723277497172,0.07511766024423669,-0.8608904767508119,False,150.0,,
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.07893677182464941,-0.0237301820115432,0.16210416810199607,0.07503188537293468,-0.5274123093651117,False,150.0,,
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.07893677182464941,-0.02373018201154342,0.1621041681019961,0.07503188537293469,-0.5274123093651113,False,50.0,,
GeneralizedLinearRegression,0.1,,0.1307814284869071,0.0789367718246494,-0.0237301820115432,0.1621041681019961,0.07503188537293468,-0.5274123093651117,False,100.0,,
LinearRegression,0.01,0.5,0.13107801336201202,0.07906816512611561,-0.02837865799522854,0.13123148649950467,0.07503505631659436,-0.0010229147266667127,True,,,
LinearRegression,0.01,1.0,0.13113089346061463,0.07916823466146435,-0.029208571917638926,0.1312506911037577,0.07505216874033863,-0.0013159184270816748,False,,,
LinearRegression,0.1,0.5,0.13113089346061466,0.07916823466146435,-0.02920857191763937,0.13125069110375773,0.07505216874033863,-0.0013159184270818969,False,,,
LinearRegression,0.1,1.0,0.13113089346061466,0.07916823466146435,-0.029208571917638926,0.13125069110375773,0.07505216874033863,-0.0013159184270818969,False,,,
RandomForestRegressor,,,0.13215325955194793,0.0800928124344154,-0.04531964659910215,0.1313175858360699,0.07500346840167901,-0.0023368628405631142,True,,20.0,5.0
RandomForestRegressor,,,0.13371175745947858,0.08110466250956173,-0.07012016583046399,0.13240427577609906,0.07567831829004158,-0.01899474180010796,False,,20.0,10.0
