model_name,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,is_best,regParam,elasticNetParam,maxIter
GeneralizedLinearRegression,0.13000155284576265,0.07879308422008864,-0.018449635835596778,0.7148376025977197,0.07587671274622362,-28.64287515644456,True,0.005,,50.0
GeneralizedLinearRegression,0.13000155284576265,0.07879308422008864,-0.018449635835596778,0.7148376025977201,0.07587671274622362,-28.642875156444585,False,0.005,,150.0
GeneralizedLinearRegression,0.13000155284576265,0.07879308422008864,-0.018449635835596556,0.7148376025977208,0.07587671274622364,-28.642875156444653,False,0.005,,100.0
GeneralizedLinearRegression,0.13000415469743784,0.07877622413090339,-0.018490402754917756,0.6649205848216607,0.07580449698809016,-24.647503754940804,False,0.01,,50.0
GeneralizedLinearRegression,0.13000415469743787,0.0787762241309034,-0.018490402754917534,0.6649205848216608,0.07580449698809016,-24.64750375494081,False,0.01,,150.0
GeneralizedLinearRegression,0.13000415469743787,0.07877622413090339,-0.018490402754917756,0.6649205848216613,0.07580449698809016,-24.647503754940843,False,0.01,,100.0
GeneralizedLinearRegression,0.1300143369098571,0.0787529701635525,-0.018649949836648583,0.5897367456212262,0.07569344579138484,-19.17538929548391,False,0.02,,50.0
GeneralizedLinearRegression,0.1300143369098571,0.07875297016355248,-0.018649949836648583,0.5897367456212264,0.07569344579138484,-19.175389295483914,False,0.02,,100.0
GeneralizedLinearRegression,0.1300143369098571,0.0787529701635525,-0.018649949836648583,0.5897367456212267,0.07569344579138484,-19.175389295483928,False,0.02,,150.0
GeneralizedLinearRegression,0.13002702387673562,0.07873756752462013,-0.0188487618912474,0.5322335476147176,0.07560813136443569,-15.43274199323858,False,0.03,,150.0
GeneralizedLinearRegression,0.13002702387673562,0.07873756752462013,-0.0188487618912474,0.5322335476147179,0.0756081313644357,-15.4327419932386,False,0.03,,50.0
GeneralizedLinearRegression,0.13002702387673562,0.07873756752462013,-0.018848761891246957,0.5322335476147181,0.0756081313644357,-15.432741993238619,False,0.03,,100.0
GeneralizedLinearRegression,0.13011904176276923,0.07871515612751966,-0.020291315599060944,0.3240480225626369,0.07531622955727164,-5.091500678323707,False,0.1,,50.0
GeneralizedLinearRegression,0.13011904176276923,0.07871515612751966,-0.020291315599061166,0.3240480225626369,0.07531622955727164,-5.091500678323705,False,0.1,,100.0
GeneralizedLinearRegression,0.13011904176276923,0.07871515612751967,-0.020291315599060944,0.3240480225626369,0.07531622955727164,-5.0915006783237065,False,0.1,,150.0
ZeroBaseline,0.1301725619286242,0.07863169562767676,-0.021130814413542254,0.13154135795977484,0.07570192073445817,-0.0037606994689862727,True,,,
LinearRegression,0.13060944261747073,0.07889791258286967,-0.027996484727490945,0.13133333859345447,0.0752146985708163,-0.0005885174494386636,True,0.01,0.5,
LinearRegression,0.13069924151312753,0.07900924830086103,-0.02941054303026358,0.13137828776412164,0.075263253440724,-0.0012735426080356937,False,0.01,1.0,
LinearRegression,0.13069924151312753,0.07900924830086105,-0.02941054303026358,0.13137828776412164,0.07526325344072402,-0.0012735426080354717,False,0.1,0.5,
LinearRegression,0.13069924151312753,0.07900924830086103,-0.02941054303026336,0.13137828776412164,0.07526325344072402,-0.0012735426080354717,False,0.1,1.0,
