Symbol,train_rows,val_rows,test_rows,total_rows
anh,2479,252,450,3181
anh_a,1027,239,406,1672
anh_b,857,165,339,1361
anik,2479,252,450,3181
anip,2479,252,450,3181
anss,2479,252,450,3181
anth,1220,252,450,1922
antm,5518,252,450,6220
anw,2029,252,450,2731
aobc,2479,252,450,3181
aod,1998,252,450,2700
aoi,2479,252,450,3181
aon,2479,252,450,3181
aos,2479,252,450,3181
aosl,1177,252,450,1879
aoxg,1808,252,431,2491
ap,2476,252,450,3178
apa,8321,252,450,9023
apam,460,252,450,1162
apb,2479,250,447,3176
apc,7133,252,450,7835
apd,8003,252,450,8705
apdn,2802,252,449,3503
apei,1798,252,450,2500
apen,550,252,450,1252
apf,2479,252,449,3180
aph,2479,252,450,3181
aphb,5015,252,450,5717
aplp,2066,252,450,2768
apo,942,252,450,1644
apog,2479,252,450,3181
apps,392,252,450,1094
apri,2480,252,450,3182
apt,2479,252,450,3181
apto,865,252,450,1567
apts,940,252,450,1642
apu,2479,252,450,3181
apwc,841,216,364,1421
ar,309,252,450,1011
aray,1989,252,450,2691
arc,2480,252,450,3182
arcb,2479,252,450,3181
arcc,2479,252,450,3181
arci,2327,244,441,3012
arco,932,252,450,1634
arcw,1972,252,449,2673
arcx,289,252,450,991
ardc,527,252,450,1229
are,2476,252,450,3178
arex,1799,252,450,2501
arh_c,687,252,450,1389
ari,1327,252,450,2029
arii,2253,252,450,2955
arkr,2398,244,423,3065
arl,2287,243,391,2921
arlp,2479,252,450,3181
arlz,2479,252,450,3181
armk,265,252,450,967
arna,2478,252,450,3180
arow,2479,252,450,3181
arql,2479,252,450,3181
arr,1680,252,450,2382
arr_a,642,249,447,1338
arr_b,475,252,450,1177
arrs,2479,252,450,3181
arry,2479,252,450,3181
artna,2475,252,450,3177
artw,2426,245,408,3079
artx,2475,252,450,3177
arw,2479,252,450,3181
arwr,763,252,449,1464
asa,2479,252,450,3181
asc,358,252,450,1060
ascma,1583,252,450,2285
asfi,2479,252,437,3168
asg,2479,252,450,3181
asgn,2479,252,450,3181
ash,8004,252,450,8706
asm,841,252,450,1543
asmb,1013,252,450,1715
asml,2479,252,450,3181
asna,2480,252,450,3182
asps,1360,252,450,2062
asr,2479,252,450,3181
asrv,2437,251,448,3136
asrvp,571,223,267,1061
astc,2478,252,450,3180
aste,2479,252,450,3181
asur,2442,234,419,3095
asx,2479,252,449,3180
asys,2477,252,450,3179
at,2336,252,450,3038
atai,1658,251,443,2352
atax,2460,252,450,3162
atec,2161,252,450,2863
atge,2479,252,450,3181
athm,266,252,450,968
athn,1834,252,450,2536
athx,1814,252,450,2516
ati,3796,252,450,4498
atlc,2450,242,390,3082
atlo,2367,252,449,3068
atni,2434,252,450,3136
ato,2479,252,450,3181
atos,538,252,450,1240
atr,2479,252,450,3181
atrc,2366,252,450,3068
atri,2374,251,449,3074
atro,7067,252,450,7769
atrs,2479,252,450,3181
atsg,2479,252,450,3181
attu,611,252,450,1313
atu,2479,252,450,3181
atv,1845,249,441,2535
atvi,2479,252,450,3181
au,4128,252,450,4830
aubn,1757,211,366,2334
audc,2479,252,450,3181
aumn,1393,252,450,2095
auo,2479,252,450,3181
auto,2477,252,450,3179
auy,2479,252,450,3181
ava,2479,252,450,3181
avav,2001,252,450,2703
avb,2475,252,450,3177
avd,2479,252,450,3181
avdl,2479,252,450,3181
aveo,1211,252,450,1913
avgo,1361,252,450,2063
avh,290,252,450,992
avhi,2479,252,450,3181
avid,2479,251,450,3180
avir,536,252,450,1238
avk,2479,252,450,3181
avnw,1996,252,450,2698
avp,8321,252,450,9023
avt,2479,252,450,3181
avx,2479,252,450,3181
avy,7643,252,450,8345
awf,2479,252,450,3181
awi,2069,252,450,2771
awk,1686,252,450,2388
awp,391,252,450,1093
awr,2479,252,450,3181
awre,2471,252,450,3173
awx,2252,241,391,2884
axas,2479,252,450,3181
axdx,2398,252,450,3100
axe,2479,252,450,3181
axgn,5294,252,450,5996
axl,2479,252,450,3181
axp,10834,252,450,11536
axr,2386,242,411,3039
axs,2479,252,450,3181
axs_d,405,252,450,1107
axti,2479,252,450,3181
axu,2186,252,450,2888
ayi,2479,252,450,3181
ayr,2115,252,450,2817
azn,2479,252,450,3181
azo,5984,252,450,6686
azpn,2479,252,450,3181
azz,2474,252,450,3176
b,2479,252,450,3181
ba,11352,252,450,12054
baa,2428,252,450,3130
baby,2479,252,450,3181
bac,7207,252,450,7909
bac_d,1097,252,450,1799
bac_e,1097,252,450,1799
bac_i,1097,252,450,1799
bac_l,1097,252,450,1799
baf,2479,252,450,3181
bah,1034,252,450,1736
bak,2479,252,450,3181
bam,2479,252,450,3181
banc,816,252,450,1518
banf,2479,252,450,3181
banfp,493,144,229,866
banr,882,252,450,1584
banx,289,252,450,991
bap,2478,252,450,3180
bas,2280,252,450,2982
basi,2265,230,429,2924
bax,8321,252,450,9023
bb,3993,252,450,4695
bbby,5684,252,450,6386
bbd,2479,252,450,3181
bbdo,483,242,404,1129
bbf,2475,252,450,3177
bbg,2479,252,450,3181
bbgi,2414,212,426,3052
bbk,2479,252,450,3181
bbl,2479,252,450,3181
bbn,1091,252,450,1793
bbox,2479,252,450,3181
bbrg,1053,252,450,1755
bbsi,2479,252,450,3181
bbt,6239,252,450,6941
bbt_d,669,252,450,1371
bbt_e,608,252,450,1310
bbt_f,545,252,450,1247
bbt_g,420,252,450,1122
bbva,2479,252,450,3181
bbw,2479,252,450,3181
bby,7489,252,450,8191
bc,8320,252,450,9022
bcbp,2072,232,449,2753
bcc,480,252,450,1182
bce,2479,252,450,3181
bcei,763,252,450,1465
bch,2474,252,450,3176
bco,2479,252,450,3181
bcom,1513,172,348,2033
bcor,2479,252,450,3181
bcov,722,252,450,1424
bcpc,2479,252,450,3181
bcr,8002,252,450,8704
bcrh,290,252,450,992
bcrx,2479,252,450,3181
bcs,2479,252,450,3181
bcs_d,1097,252,450,1799
bcv,2479,252,450,3181
bcx,942,252,450,1644
bdc,2479,252,450,3181
bdge,2319,252,449,3020
bdj,2353,252,450,3055
bdl,1759,248,328,2335
bdn,2479,252,450,3181
bdr,2161,251,420,2832
bdsi,2475,252,450,3177
bdx,8003,252,450,8705
beat,1710,252,450,2412
bebe,2479,252,449,3180
becn,2479,252,450,3181
bel,2479,252,450,3181
belfa,2095,201,326,2622
belfb,2479,252,450,3181
ben,7635,252,450,8337
bep,394,252,450,1096
bery,563,252,450,1265
bf-a,1095,252,450,1797
bf-b,1097,252,450,1799
bfam,488,252,450,1190
bfin,2397,252,450,3099
bfk,2479,252,450,3181
bfo,2460,251,438,3149
bfr,2479,252,450,3181
bfs,2479,252,450,3181
bfs_c,469,242,432,1143
bfy,2475,252,450,3177
bfz,2479,252,450,3181
bg,2479,252,450,3181
bgb,569,252,450,1271
bgc,2479,252,450,3181
bgca,628,252,450,1330
bgcp,2479,252,450,3181
bgfv,2479,252,450,3181
bgg,2479,252,450,3181
bgh,547,252,450,1249
bgi,1759,212,409,2380
bgr,2479,252,450,3181
bgs,1916,252,450,2618
bgt,2479,252,450,3181
bgx,985,252,450,1687
bgy,1915,252,450,2617
bh,2479,252,450,3181
bhb,2341,252,450,3043
bhe,2479,252,450,3181
bhk,2479,252,450,3181
bhlb,2479,252,450,3181
bhp,2479,252,450,3181
bhv,2112,237,396,2745
bid,2479,252,450,3181
bidu,2368,252,450,3070
bif,2478,252,450,3180
big,2479,252,450,3181
biib,5864,252,450,6566
bio,2479,252,450,3181
bioa,415,252,449,1116
biol,2479,252,450,3181
bios,2479,252,450,3181
bip,1756,252,450,2458
bit,467,252,450,1169
bita,1034,252,450,1736
bjri,2479,252,450,3181
bjz,2466,250,439,3155
bk,7643,252,450,8345
bk_c,572,252,450,1274
bkcc,1893,252,450,2595
bkd,2292,252,450,2994
bke,2479,252,450,3181
bkep,910,252,450,1612
bkepp,644,222,439,1305
bkh,2479,252,450,3181
bkj,1285,238,412,1935
bkk,2479,252,450,3181
bkmu,2479,252,450,3181
bkn,2479,252,450,3181
bks,2479,252,450,3181
bksc,2047,238,406,2691
bkt,2479,252,450,3181
bku,985,252,450,1687
bldp,2479,252,450,3181
bldr,2399,252,450,3101
ble,2479,252,450,3181
blh,2431,251,409,3091
blin,1798,248,443,2489
blj,2426,252,450,3128
blk,2479,252,450,3181
blkb,2479,252,450,3181
bll,7641,252,450,8343
blmn,603,252,450,1305
blmt,812,251,450,1513
blrx,809,252,450,1511
blue,388,252,450,1090
blw,2479,252,450,3181
blx,2479,252,450,3181
bma,2209,252,450,2911
bmch,352,252,450,1054
bme,2459,252,450,3161
bmi,2479,252,450,3181
bml_g,1094,249,449,1792
bml_h,1097,252,449,1798
bml_i,1097,252,450,1799
bml_j,1097,252,450,1799
bml_l,1097,252,450,1799
bmo,2479,252,450,3181
bmrc,2431,252,450,3133
bmrn,2478,251,450,3179
bms,7624,252,450,8326
bmtc,2464,252,450,3166
bmy,9585,252,450,10287
bncl,1880,252,450,2582
bnft,325,252,450,1027
bnj,2477,252,450,3179
bns,2479,252,450,3181
bnso,2064,224,441,2729
bny,2479,252,450,3181
bobe,2479,252,450,3181
boch,2164,251,450,2865
boe,2416,252,450,3118
bofi,2435,252,450,3137
boh,2479,252,450,3181
bokf,2479,252,450,3181
bont,2479,252,448,3179
boom,2479,252,450,3181
born,1147,252,450,1849
bosc,2138,242,445,2825
botj,558,191,367,1116
bp,2479,252,450,3181
bpfh,2479,252,450,3181
bpfhp,414,228,373,1015
bpfhw,448,78,124,650
bpi,1440,252,450,2142
bpk,2479,252,450,3181
bpl,2479,252,450,3181
bpop,2479,252,450,3181
bpopm,895,204,414,1513
bpopn,1059,244,443,1746
bpt,2479,252,450,3181
bpth,1404,252,450,2106
bpy,432,252,450,1134
bqh,2427,252,447,3126
br,1959,252,450,2661
brc,2479,252,450,3181
brcd,2479,252,450,3181
brew,2475,252,450,3177
brfs,2476,252,450,3178
brid,1814,157,332,2303
brk-a,8350,252,450,9052
brk-b,4693,252,450,5395
brkl,2479,252,450,3181
brkr,2479,252,450,3181
brks,2479,252,450,3181
brn,2353,227,402,2982
bro,2479,252,450,3181
brs,2479,252,450,3181
brss,406,252,450,1108
brt,2459,248,438,3145
brx,295,252,450,997
bsac,2479,252,450,3181
bsbr,1318,252,450,2020
bsd,2479,252,450,3181
bse,2477,252,450,3179
bset,2479,252,450,3181
bsf,897,251,450,1598
bsft,1145,252,450,1847
bsl,1159,252,450,1861
bsmx,569,252,450,1271
bspm,1387,252,447,2086
bsqr,2457,252,450,3159
bsrr,2477,252,450,3179
bstc,2200,252,450,2902
bsx,5696,252,450,6398
bt,2479,252,450,3181
bta,2229,252,450,2931
bte,2476,252,450,3178
btg,397,252,450,1099
bti,2479,252,450,3181
btn,2464,252,449,3165
bto,2479,252,450,3181
btt,588,252,450,1290
btx,2428,252,450,3130
btz,2019,252,450,2721
bud,1385,252,450,2087
bui,778,252,450,1480
bur,622,228,406,1256
burl,315,252,450,1017
buse,2478,252,450,3180
bv,718,252,450,1420
bvn,2479,252,450,3181
bvsn,2448,250,421,3119
bvx,2473,252,450,3175
bwa,2479,252,450,3181
bwen,2297,252,450,2999
bwg,695,252,450,1397
bwina,1096,149,280,1525
bwinb,2479,252,450,3181
bwl-a,593,176,291,1060
bwld,2479,252,450,3181
bwp,2301,252,450,3003
bx,1896,252,450,2598
bxc,2479,252,448,3179
bxe,571,252,450,1273
bxmt,2477,252,450,3179
bxmx,2479,252,450,3181
bxp,2476,252,450,3178
bxp_b,445,252,445,1142
bxs,2479,252,450,3181
bybk,1378,239,409,2026
byd,2479,252,450,3181
byfc,1425,215,418,2058
bym,2479,252,450,3181
bzh,2479,252,450,3181
bzm,2237,223,396,2856
c,11352,252,450,12054
c_c,445,252,450,1147
c_j,317,252,450,1019
c_k,290,252,450,992
c_n,1064,252,450,1766
c_p,1057,247,447,1751
ca,7644,252,450,8346
caa,2479,252,450,3181
caas,2478,252,449,3179
cac,2479,252,450,3181
cacc,2466,252,450,3168
caci,2479,252,450,3181
cadc,1439,203,393,2035
cae,2479,252,450,3181
caf,2079,252,450,2781
cag,7640,252,450,8342
cah,6797,252,450,7499
cai,1921,252,450,2623
caj,2479,252,450,3181
cake,2479,252,450,3181
cal,2479,252,450,3181
cald,2478,252,450,3180
cali,1540,248,442,2230
call,2418,252,450,3120
calm,2479,252,450,3181
calx,1203,252,450,1905
camp,2479,252,450,3181
camt,2452,252,450,3154
canf,279,252,450,981
capl,548,252,450,1250
capr,1505,252,450,2207
car,2479,252,450,3181
carb,851,252,450,1553
cart,1575,201,323,2099
carv,515,224,317,1056
casc,2479,252,450,3181
cash,2227,252,450,2929
casi,2478,252,450,3180
casm,2353,252,450,3055
cass,2410,252,450,3112
casy,2479,252,450,3181
cat,11353,252,450,12055
catm,1777,252,450,2479
cato,2479,252,450,3181
cats,385,250,450,1085
caty,2479,252,450,3181
